Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,10/28/2019,"PAYPAL *ANG66 402-935-7733 CA                10/27",-32.58,DEBIT_CARD,8118.09,,
DEBIT,10/28/2019,"SAFEWAY #3403 MOUNTAIN VIEW CA               10/26",-5.77,DEBIT_CARD,8150.67,,
DEBIT,10/25/2019,"AIRBNB  HMAH8QSPMB AIRBNB.COM CA             10/25",-1914.14,DEBIT_CARD,8156.44,,
DEBIT,10/21/2019,"VEGGIE GRILL MTV MOUNTAIN VIEW CA            10/20",-23.60,DEBIT_CARD,10070.58,,
DEBIT,10/21/2019,"WHOLEFDS LAT 101 4800 LOS ALTOS CA   656463  10/20",-10.97,DEBIT_CARD,10094.18,,
DEBIT,10/21/2019,"WAL-MART #2280 MOUNTAIN VIEW CA              10/20",-21.48,DEBIT_CARD,10105.15,,
DEBIT,10/21/2019,"GELATO CLASSICO ITAL MOUNTAIN VIEW CA        10/21",-3.00,DEBIT_CARD,10126.63,,
DEBIT,10/21/2019,"SQ *SCHLETEWITZ FAMILY Sanger CA             10/20",-6.50,DEBIT_CARD,10129.63,,
DEBIT,10/21/2019,"PANERA BREAD #202225 SAN FRANCISCO CA        10/19",-10.20,DEBIT_CARD,10136.13,,
DEBIT,10/21/2019,"BARSOTTI BROTHERS INC W SACRAMENTO CA        10/19",-1.99,DEBIT_CARD,10146.33,,
DEBIT,10/21/2019,"TST* GRACIAS MADRE - SAN FRANCISCO CA        10/20",-35.81,DEBIT_CARD,10148.32,,
DEBIT,10/21/2019,"TMOBILE*PREPAID WEB 877-778-2106 WA          10/20",-10.90,DEBIT_CARD,10184.13,,
DEBIT,10/21/2019,"SEAGLASS MANAGEMENT SAN FRANCISCO CA         10/19",-9.11,DEBIT_CARD,10195.03,,
DEBIT,10/21/2019,"THE EXPLORATORIUM SAN FRANCISCO CA           10/19",-5.00,DEBIT_CARD,10204.14,,
DEBIT,10/21/2019,"MCEVOY RANCH PETALUMA CA                     10/20",-27.13,DEBIT_CARD,10209.14,,
DEBIT,10/21/2019,"SQ *BLUE BOTTLE COFF San Francisco CA        10/19",-5.16,DEBIT_CARD,10236.27,,
DEBIT,10/21/2019,"TMOBILE*PREPAID WEB 877-778-2106 WA          10/19",-43.60,DEBIT_CARD,10241.43,,
DEBIT,10/21/2019,"GOOGLE 540-3890014 VA                        10/19",-41.97,DEBIT_CARD,10285.03,,
CREDIT,10/18/2019,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",2634.68,ACH_CREDIT,10327.00,,
CREDIT,10/18/2019,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",7344.70,ACH_CREDIT,7692.32,,
DEBIT,10/17/2019,"LYFT   *RIDE MON 9PM lyft.com CA             10/16",-9.40,DEBIT_CARD,347.62,,
DEBIT,10/15/2019,"CRAB STATION AT FISH SAN FRANCISCO CA        10/13",-13.29,DEBIT_CARD,357.02,,
DEBIT,10/15/2019,"WHOLEFDS LAT 101 4800 LOS ALTOS CA   828304  10/12",-59.78,DEBIT_CARD,370.31,,
DEBIT,10/15/2019,"TRADER JOE'S #081  QP MOUNTAINVIEW CA        10/12",-0.98,DEBIT_CARD,430.09,,
DEBIT,10/15/2019,"WITHDRAWAL 10/15",-23.00,MISC_DEBIT,431.07,,
DEBIT,10/10/2019,"GOOGLE *YouTube Vide g.co/helppay# CA        10/10",-3.99,DEBIT_CARD,454.07,,
DEBIT,10/07/2019,"WAL-MART  Wal-Mart S MOUNTAIN VIEW CA        10/06",-21.94,DEBIT_CARD,458.06,,
CREDIT,10/07/2019,"ATM CASH DEPOSIT 10/06 2510 W EL CAMINO REAL MOUNTAIN VIEW CA",480.00,ATM,480.00,,
