Date,Description,Debit,Credit,Balance
09/11/2017,Internet Withdrawal           09Nov13:58 Japan Flights,1061.45,,1625.78,
10/11/2017,Eftpos Purchase               10Nov19:22 Woolworths      5317  Rundle Mall  Sa Au,10.60,,1615.18,
10/11/2017,Visa Purchase                 07Nov Paypal *Optus Prepa  402935773,30.00,,1585.18,
13/11/2017,Atm Deposit                   11Nov20:34 Banksa                Adelaide0450263585,,80.00,1665.18,
13/11/2017,Black Bull Hotel Black Bull Pay,,429.48,2094.66,
14/11/2017,Eftpos Purchase               14Nov16:22 Taste Baguette        Adelaide Uni Sa Au,9.50,,2085.16,
15/11/2017,Eftpos Purchase               15Nov19:27 Soi 38 Thai Street F  Adelaide     Sa Au,61.00,,2024.16,
16/11/2017,Eftpos Purchase               16Nov16:02 Shaver Shop Westlakes Westlakes    Sa Au,69.95,,1954.21,
16/11/2017,Eftpos Purchase               16Nov16:00 Cycle Worx            Woodville       Au,25.98,,1928.23,
16/11/2017,Eftpos Purchase               16Nov16:10 Bunnings 703000       Woodville    Sa Au,9.89,,1918.34,
17/11/2017,Visa Purchase                 15Nov Wilson Parking A040  Adelaide,6.05,,1912.29,
18/11/2017,Eftpos Purchase               18Nov12:26 Ww Petrol       5507  Golden Grove Sa Au,10.00,,1902.29,
18/11/2017,Visa Purchase                 16Nov Readingcinemas Eli   Elizabeth,6.50,,1895.79,
18/11/2017,Visa Purchase                 16Nov Reading Cinemas      Melbourne,11.50,,1884.29,
18/11/2017,Visa Purchase                 16Nov Paypal *Alltech      402935773,12.90,,1871.39,
18/11/2017,Visa Purchase                 16Nov Paypal *Cyclingdeal  402935773,39.00,,1832.39,
20/11/2017,Eftpos Purchase               20Nov11:19 Liberty Golden Grov\Golden Grove      Au,42.46,,1789.93,
20/11/2017,Internet Withdrawal           20Nov17:06 Tokyo Accomodation,221.50,,1568.43,
20/11/2017,Black Bull Hotel Black Bull Pay,,270.34,1838.77,
20/11/2017,Visa Purchase                 17Nov Paypal *Chexuhui     402935773,7.95,,1830.82,
20/11/2017,Visa Purchase                 17Nov Paypal *Tangjie      402935773,12.51,,1818.31,
21/11/2017,Visa Purchase                 18Nov Paypal *Contactchri  402935773,29.95,,1788.36,
22/11/2017,Internet Withdrawal           22Nov11:04 Japan,1283.70,,504.66,
22/11/2017,Eftpos Purchase               22Nov15:16 The Bartley Tavern    West Lakes Shsa Au,49.99,,454.67,
23/11/2017,Eftpos Purchase               23Nov16:57 Gym On Brebner        West Lakes   Sa Au,210.00,,244.67,
23/11/2017,Eftpos Purchase               23Nov17:43 Kmart 1021            West Lakes      Au,7.00,,237.67,
23/11/2017,Eftpos Purchase               23Nov18:09 Jb Hi Fi Westlakes    West Lakes      Au,89.00,,148.67,
23/11/2017,Visa Purchase                 21Nov Paypal *Chen Xia     402935773,5.65,,143.02,
24/11/2017,Eftpos Purchase               24Nov09:25 Gym On Brebner        West Lakes   Sa Au,15.00,,128.02,
27/11/2017,Eftpos Purchase               26Nov16:34 Kmart 1021            West Lakes      Au,37.65,,90.37,
27/11/2017,Eftpos Purchase               26Nov16:51 Target 5394           West Lakes      Au,25.00,,65.37,
27/11/2017,Eftpos Purchase               27Nov21:24 Hoyts Corp Pty Ltd    Modbury      Sa Au,20.00,,45.37,
27/11/2017,Black Bull Hotel Black Bull Pay,,537.53,582.90,
29/11/2017,Eftpos Purchase               29Nov12:11 Sodexo Australia Pty Lmawson Lakes Sa Au,7.20,,575.70,
29/11/2017,Eftpos Purchase               29Nov12:25 Sodexo Australia Pty Lmawson Lakes Sa Au,2.40,,573.30,
01/12/2017,Eftpos Purchase               01Dec18:43 Subway Hindley Stree  Adelaide        Au,10.75,,562.55,
01/12/2017,Eftpos Purchase               01Dec18:55 Hindley St Express Su Adelaide     Sa Au,3.00,,559.55,
02/12/2017,Atm Withdrawal                02Dec01:44 Np-It's Convenient Hin1Adelaide     05Au,20.00,,539.55,
02/12/2017,Atm Operator Fee Wdl          02Dec01:44 Np-It's Convenient Hin1Adelaide     05Au,2.50,,537.05,
04/12/2017,Black Bull Hotel Black Bull Pay,,594.52,1131.57,
06/12/2017,Eftpos Purchase               06Dec16:36 Bpampm Westlakes 77\West Lakes        Au,30.00,,1101.57,
07/12/2017,Saab Systems Jadx,,624.00,1725.57,
08/12/2017,Eftpos Purchase               08Dec11:53 Sodexo Australia Pty Lmawson Lakes Sa Au,9.60,,1715.97,
08/12/2017,Eftpos Purchase               08Dec17:52 Hindley St Express Su Adelaide     Sa Au,4.49,,1711.48,
08/12/2017,Visa Purchase                 06Dec Paypal *Optus Prepa  402935773,30.00,,1681.48,
09/12/2017,Eftpos Purchase               09Dec14:04 Babylon Barbers       West Lakes   Sa Au,30.00,,1651.48,
09/12/2017,Eftpos Purchase               09Dec14:11 Woolworths      5623  West Lakes   Sa Au,28.00,,1623.48,
09/12/2017,Eftpos Purchase               09Dec20:14 Black Bull Hotel Pty  Adelaide        Au,37.60,,1585.88,
09/12/2017,Eftpos Purchase               09Dec21:30 Black Bull Hotel Pty  Adelaide        Au,19.20,,1566.68,
11/12/2017,Black Bull Hotel Black Bull Pay,,612.98,2179.66,
13/12/2017,Eftpos Purchase               13Dec11:01 Sodexo Australia Pty Lmawson Lakes Sa Au,9.50,,2170.16,
13/12/2017,Eftpos Purchase               13Dec18:07 Adelaide University   North Adelai    Au,25.00,,2145.16,
14/12/2017,Internet Withdrawal           14Dec18:15 Lunch,40.00,,2105.16,
15/12/2017,Internet Withdrawal           14Dec22:42 Insurance,257.00,,1848.16,
15/12/2017,Eftpos Purchase               15Dec09:00 Bp Mawson Lake7712 \Mawson            Au,25.96,,1822.20,
15/12/2017,"Internet Withdrawal           15Dec12:55 Lift Tickets Transfers",659.61,,1162.59,
15/12/2017,Eftpos Purchase               15Dec17:40 Subway Hindley Stree  Adelaide        Au,8.85,,1153.74,
15/12/2017,Eftpos Purchase               15Dec17:51 Hindley St Express Su Adelaide     Sa Au,7.50,,1146.24,
18/12/2017,Eftpos Purchase               16Dec23:54 Pizza Rev             Adelaide        Au,9.50,,1136.74,
18/12/2017,Eftpos Purchase               17Dec15:28 Kmart 1021            West Lakes      Au,27.00,,1109.74,
18/12/2017,Internet Deposit              17Dec16:27 From 1340081616440,,2000.00,3109.74,
18/12/2017,Eftpos Purchase               17Dec15:59 Jb Hi Fi Westlakes    West Lakes      Au,2477.00,,632.74,
18/12/2017,Black Bull Hotel Black Bull Pay,,487.09,1119.83,
19/12/2017,Eftpos Purchase               19Dec19:34 2Kw Bar + Restaurant  Adelaide        Au,28.50,,1091.33,
20/12/2017,Eftpos Purchase               19Dec22:31 Mcdonalds Hindley St  Adelaide     Sa Au,14.55,,1076.78,
20/12/2017,Eftpos Purchase               20Dec12:39 Sodexo Australia Pty Lmawson Lakes Sa Au,7.20,,1069.58,
21/12/2017,Saab Systems Jadx,,1686.00,2755.58,
22/12/2017,Eftpos Purchase               22Dec10:44 Sodexo Australia Pty Lmawson Lakes Sa Au,4.65,,2750.93,
22/12/2017,Eftpos Purchase               22Dec13:53 Bp Mawson Lake7712 \Mawson            Au,25.39,,2725.54,
23/12/2017,Eftpos Purchase               23Dec13:03 Woolworths      5623  West Lakes   Sa Au,72.55,,2652.99,
23/12/2017,Eftpos Purchase               23Dec13:10 Lorna Jane         \West Lakes        Au,50.00,,2602.99,
23/12/2017,Eftpos Purchase               23Dec13:19 Pline West Lakes      West Lakes   Sa Au,12.99,,2590.00,
23/12/2017,Eftpos Purchase               23Dec13:26 Liquorland 3027       West Lakes      Au,49.00,,2541.00,
23/12/2017,Eftpos Purchase               23Dec13:53 Charlesworth Nuts     West Lakes   Sa Au,7.00,,2534.00,
23/12/2017,Eftpos Purchase               23Dec14:28 The Bartley Tavern    West Lakes Shsa Au,29.98,,2504.02,
27/12/2017,Eftpos Purchase               26Dec20:58 Semaphore Iga Everyd  Semaphore       Au,7.32,,2496.70,
27/12/2017,Black Bull Hotel Black Bull Pay,,480.51,2977.21,
28/12/2017,Eftpos Purchase               28Dec21:15 Black Bull Hotel Pty  Adelaide        Au,5.00,,2972.21,
28/12/2017,Eftpos Purchase               28Dec21:28 Black Bull Hotel Pty  Adelaide        Au,5.00,,2967.21,
29/12/2017,Eftpos Purchase               28Dec22:46 Yellow Cab Sa 13222\   Adelaide  Sa   Au,41.05,,2926.16,
29/12/2017,Visa Purchase                 26Dec Paypal *Yellowprice  402935773,24.69,,2901.47,
30/12/2017,Eftpos Purchase               30Dec17:55 Hindley St Express Su Adelaide     Sa Au,6.60,,2894.87,
02/01/2018,Eftpos Purchase               31Dec03:35 Sai Trading (Sa) Pty  Woodville       Au,43.88,,2850.99,
02/01/2018,Eftpos Purchase               31Dec17:35 Subway Hindley Stree  Adelaide        Au,8.00,,2842.99,
02/01/2018,Internet Withdrawal           01Jan14:14 To 1340081616440,2000.00,,842.99,
02/01/2018,Eftpos Purchase               02Jan18:41 Orientai Holden Hill  Holden Hill     Au,8.00,,834.99,
02/01/2018,Black Bull Hotel Black Bull Pay,,784.43,1619.42,
04/01/2018,Atm Deposit                   04Jan10:49 Banksa                West Lak0450263585,,1290.00,2909.42,
04/01/2018,Eftpos Purchase               04Jan11:38 Jb Hi Fi Westlakes    West Lakes      Au,1864.00,,1045.42,
04/01/2018,Saab Systems Jadx,,956.00,2001.42,
04/01/2018,Visa Purchase                 02Jan Paypal *Optus Prepa  402935773,30.00,,1971.42,
05/01/2018,Eftpos Purchase               05Jan20:18 Subway Hindley Stree  Adelaide        Au,12.95,,1958.47,
06/01/2018,Eftpos Purchase               06Jan17:35 Subway Hindley Stree  Adelaide        Au,11.00,,1947.47,
08/01/2018,Atm Deposit                   07Jan16:15 Banksa                West Lakes Sa5  Au,,1620.00,3567.47,
08/01/2018,Eftpos Purchase               07Jan16:29 Jb Hi Fi Westlakes    West Lakes      Au,73.00,,3494.47,
08/01/2018,Eftpos Purchase               07Jan16:39 Woolworths      5623  West Lakes   Sa Au,10.00,,3484.47,
08/01/2018,Black Bull Hotel Black Bull Pay,,567.54,4052.01,
09/01/2018,Eftpos Purchase               09Jan19:38 Burger Theory Enterp  Adelaide     Sa Au,24.00,,4028.01,
09/01/2018,Eftpos Purchase               09Jan19:40 Adelaide Oval Sma Ltd Nth Adelaide Sa Au,28.20,,3999.81,
11/01/2018,Eftpos Purchase               11Jan12:06 Sodexo Australia Pty Lmawson Lakes Sa Au,7.20,,3992.61,
11/01/2018,Eftpos Purchase               11Jan19:45 Alh Venues      8722  Geppscrss Ht Sa Au,19.00,,3973.61,
12/01/2018,Eftpos Purchase               12Jan12:34 Sodexo Australia Pty Lmawson Lakes Sa Au,7.20,,3966.41,
13/01/2018,Eftpos Purchase               13Jan16:48 Subway Hindley Stree  Adelaide        Au,12.95,,3953.46,
15/01/2018,Atm Withdrawal                14Jan09:28 Banksa                West Lakes Sa5  Au,600.00,,3353.46,
15/01/2018,Black Bull Hotel Black Bull Pay,,438.74,3792.20,
17/01/2018,Eftpos Purchase               17Jan07:09 Ww Petrol       5537  West Lakes   Sa Au,15.01,,3777.19,
17/01/2018,Eftpos Purchase               17Jan12:11 Sodexo Australia Pty Lmawson Lakes Sa Au,7.20,,3769.99,
18/01/2018,Saab Systems Jadx,,956.00,4725.99,
20/01/2018,Eftpos Purchase               20Jan12:57 Uc Royal Park         Royal Park   Sa Au,15.49,,4710.50,
22/01/2018,Atm Withdrawal                21Jan16:57 Cba Atm  Glenelg C      Sa  510803   Aus,100.00,,4610.50,
22/01/2018,Eftpos Purchase               21Jan19:32 Boost Juice Glenelg   Glenelg         Au,6.60,,4603.90,
22/01/2018,Internet Withdrawal           22Jan07:50 Savings,3823.18,,780.72,
22/01/2018,Black Bull Hotel Black Bull Pay,,209.16,989.88,
23/01/2018,Visa Purchase                 21Jan Paypal *Adobesystem  402935773,14.29,,975.59,
27/01/2018,Eftpos Purchase               26Jan17:34 Subway Hindley Stree  Adelaide        Au,14.25,,961.34,
27/01/2018,Eftpos Purchase               27Jan15:45 Subway Hindley Stree  Adelaide        Au,12.95,,948.39,
29/01/2018,Eftpos Purchase               27Jan21:58 Zambrero Sa Pty Ltd   Adelaide        Au,11.90,,936.49,
29/01/2018,Eftpos Purchase               28Jan02:29 Hindley St Express Su Adelaide     Sa Au,4.80,,931.69,
29/01/2018,Eftpos Purchase               28Jan15:49 Target 5394           West Lakes      Au,30.00,,901.69,
29/01/2018,Eftpos Purchase               28Jan15:57 Woolworths      5623  West Lakes   Sa Au,34.00,,867.69,
29/01/2018,Eftpos Purchase               28Jan16:21 Sds 3229              West Lakes   Sa Au,22.49,,845.20,
29/01/2018,Eftpos Purchase               29Jan12:10 Sodexo Australia Pty Lmawson Lakes Sa Au,7.20,,838.00,
29/01/2018,Atm Withdrawal                29Jan19:33 Rediatm 111 West Lakes West Lakes 5005Au,50.00,,788.00,
29/01/2018,Atm Operator Fee Wdl          29Jan19:33 Rediatm 111 West Lakes West Lakes 5005Au,2.50,,785.50,
29/01/2018,Black Bull Hotel Black Bull Pay,,768.66,1554.16,
31/01/2018,Visa Purchase                 29Jan Paypal *Optus Prepa  402935773,30.00,,1524.16,
01/02/2018,Eftpos Purchase               01Feb18:00 Big W           0550  Elizabeth    Sa Au,68.15,,1456.01,
01/02/2018,Eftpos Purchase               01Feb18:26 Jay Jays 650       \Elizabeth         Au,34.95,,1421.06,
01/02/2018,Eftpos Purchase               01Feb18:36 Adelaide Deli Pty Lt  Elizabeth       Au,7.20,,1413.86,
01/02/2018,Eftpos Purchase               01Feb18:50 The Reject Shop Aust  Elizabeth       Au,3.30,,1410.56,
01/02/2018,Internet Withdrawal           01Feb20:37 Money Card,750.00,,660.56,
01/02/2018,Saab Systems Jadx,,1280.00,1940.56,
03/02/2018,Eftpos Purchase               03Feb11:06 Subway Hindley Stree  Adelaide        Au,12.95,,1927.61,
03/02/2018,Eftpos Purchase               03Feb11:18 Subway Hindley Stree  Adelaide        Au,3.00,,1924.61,
03/02/2018,Internet Withdrawal           03Feb21:38 To 105-192 031037340,250.00,,1674.61,
05/02/2018,Eftpos Purchase               04Feb15:10 H Barber              West Lakes   Sa Au,30.00,,1644.61,
05/02/2018,Eftpos Purchase               04Feb15:38 Jb Hi Fi Westlakes    West Lakes      Au,400.00,,1244.61,
05/02/2018,Eftpos Purchase               05Feb12:09 Sodexo Australia Pty Lmawson Lakes Sa Au,5.80,,1238.81,
05/02/2018,Black Bull Hotel Black Bull Pay,,395.77,1634.58,
06/02/2018,Visa Purchase                 03Feb Paypal *Uber Au      402935773,33.75,,1600.83,
10/02/2018,Internet Withdrawal           10Feb22:03 Cash Passport,400.00,,1200.83,
15/02/2018,Saab Systems Jadx,,1280.00,2480.83,
19/02/2018,Internet Withdrawal           17Feb21:34 Baggage,28.14,,2452.69,
19/02/2018,Eftpos Purchase               19Feb13:34 Taxi Epay Australia   West Melbournvicau,42.01,,2410.68,
20/02/2018,Internet Withdrawal           19Feb23:05 J. Dearing - Med And 10,50.00,,2360.68,
20/02/2018,Eftpos Purchase               20Feb12:27 Sodexo Australia Pty Lmawson Lakes Sa Au,3.00,,2357.68,
22/02/2018,Eftpos Purchase               22Feb21:35 Liberty Golden Grov\Golden Grove      Au,43.64,,2314.04,
23/02/2018,Eftpos Purchase               23Feb19:41 Burger Theory Pty Lt  Bedford Park Sa Au,20.00,,2294.04,
23/02/2018,Eftpos Purchase               23Feb20:01 Burger Theory Pty Lt  Bedford Park Sa Au,10.00,,2284.04,
23/02/2018,Eftpos Purchase               23Feb20:22 Burger Theory Pty Lt  Bedford Park Sa Au,30.00,,2254.04,
23/02/2018,Eftpos Purchase               23Feb21:03 Burger Theory Pty Lt  Bedford Park Sa Au,10.00,,2244.04,
23/02/2018,Visa Purchase                 20Feb Paypal *Adobesystem  402935773,14.29,,2229.75,
24/02/2018,Eftpos Purchase               23Feb22:03 Burger Theory Pty Lt  Bedford Park Sa Au,20.00,,2209.75,
24/02/2018,Eftpos Purchase               23Feb22:42 Burger Theory Pty Lt  Bedford Park Sa Au,10.00,,2199.75,
24/02/2018,Eftpos Purchase               24Feb17:42 Subway Hindley Stree  Adelaide        Au,12.95,,2186.80,
26/02/2018,Eftpos Purchase               25Feb01:59 Pizza Rev             Adelaide        Au,13.50,,2173.30,
26/02/2018,Internet Withdrawal           25Feb16:32 O'Fiesta,75.00,,2098.30,
26/02/2018,Eftpos Purchase               26Feb13:54 R405   Sa Adelaide                    Au,229.00,,1869.30,
26/02/2018,Eftpos Purchase               26Feb14:20 Kathmandu Pty Limite  Adelaide     Sa Au,149.99,,1719.31,
26/02/2018,Black Bull Hotel Black Bull Pay,,365.61,2084.92,
27/02/2018,Visa Purchase                 25Feb Paypal *Optus Prepa  402935773,30.00,,2054.92,
28/02/2018,Eftpos Purchase               28Feb14:14 Taste Baguette        Adelaide Uni Sa Au,9.50,,2045.42,
01/03/2018,Eftpos Purchase               01Mar12:25 Jb Hi Fi Adelaide Ci  Adelaide        Au,99.00,,1946.42,
02/03/2018,Eftpos Purchase               02Mar14:35 The Sports Hub        Adelaide Uni Sa Au,15.00,,1931.42,
02/03/2018,Eftpos Purchase               02Mar16:19 Just Guys Sa Pty Ltd  Adelaide     Sa Au,30.00,,1901.42,
03/03/2018,Visa Purchase                 01Mar Adelaide Metro       Adelaide,15.00,,1886.42,
05/03/2018,Eftpos Purchase               05Mar15:39 Taste Baguette        Adelaide Uni Sa Au,10.00,,1876.42,
05/03/2018,Black Bull Hotel Black Bull Pay,,285.50,2161.92,
06/03/2018,Eftpos Purchase               06Mar13:27 Grilld Pty Ltd        Adelaide     Sa Au,45.50,,2116.42,
06/03/2018,Visa Purchase                 03Mar Paypal *Hanwei       402935773,22.97,,2093.45,
10/03/2018,Eftpos Purchase               10Mar20:38 Subway Hindley Stree  Adelaide        Au,10.75,,2082.70,
10/03/2018,Visa Purchase                 08Mar Adelaide Metro       Adelaide,15.00,,2067.70,
13/03/2018,Black Bull Hotel Black Bull Pay,,277.92,2345.62,
14/03/2018,Eftpos Purchase               14Mar13:17 The General           Adelaide     Sa Au,4.50,,2341.12,
15/03/2018,Saab Systems Jadx,,808.00,3149.12,
16/03/2018,Eftpos Purchase               16Mar14:01 Yiros Central         Adelaide        Au,9.00,,3140.12,
16/03/2018,Eftpos Purchase               16Mar16:25 Jay Jays 381       \Adelaide          Au,59.93,,3080.19,
16/03/2018,Atm Withdrawal                16Mar18:30 Banksa                Adelaide     5  Au,60.00,,3020.19,
17/03/2018,Eftpos Purchase               17Mar23:10 Zambrero Sa Pty Ltd   Adelaide        Au,11.90,,3008.29,
17/03/2018,Visa Purchase                 15Mar University Of Adelai Adleiade,70.00,,2938.29,
19/03/2018,Eftpos Purchase               19Mar11:54 Whetlam Pty Ltd       Adelaide Uni    Au,3.50,,2934.79,
19/03/2018,Eftpos Purchase               19Mar13:03 Coles 4964            Adelaide        Au,7.50,,2927.29,
19/03/2018,Black Bull Hotel Black Bull Pay,,360.30,3287.59,
22/03/2018,Visa Purchase                 20Mar Adelaide Metro       Adelaide,15.00,,3272.59,
23/03/2018,Visa Purchase                 21Mar Paypal *Adobesystem  402935773,14.29,,3258.30,
26/03/2018,Eftpos Purchase               26Mar09:42 Post   Adelaide Unive              Sa Au,42.45,,3215.85,
26/03/2018,Black Bull Hotel Black Bull Pay,,498.72,3714.57,
26/03/2018,Visa Purchase                 23Mar Paypal *Optus Prepa  402935773,30.00,,3684.57,
27/03/2018,Visa Purchase                 23Mar Adelaide Metro       Adelaide,15.00,,3669.57,
29/03/2018,Eftpos Purchase               29Mar18:17 He University Of Ade  Adelaide Uni Sa Au,20.00,,3649.57,
29/03/2018,Eftpos Purchase               29Mar19:56 Adelaide Oval Sma Ltd Nth Adelaide Sa Au,28.20,,3621.37,
31/03/2018,Eftpos Purchase               29Mar22:46 Black Bull Hotel Pty  Adelaide        Au,15.00,,3606.37,
31/03/2018,Eftpos Purchase               29Mar23:32 Hj Hindley Street     Adelaide     Sa Au,12.45,,3593.92,
31/03/2018,Eftpos Purchase               31Mar21:22 Subway Hindley Stree  Adelaide        Au,10.75,,3583.17,
03/04/2018,Eftpos Purchase               01Apr09:01 Www.Ingogo            Sydney          Au,39.58,,3543.59,
03/04/2018,Eftpos Purchase               03Apr15:22 Aka Japanese Cuisin\Adelaide          Au,12.80,,3530.79,
03/04/2018,Black Bull Hotel Black Bull Pay,,233.70,3764.49,
05/04/2018,Atm Withdrawal                05Apr17:41 Banksa                Adelaide     5  Au,20.00,,3744.49,
05/04/2018,Eftpos Purchase               05Apr21:09 Queens Head Hotel     North Adelaidsa Au,80.00,,3664.49,
05/04/2018,Eftpos Purchase               05Apr21:37 Queens Head Hotel     North Adelaidsa Au,143.00,,3521.49,
06/04/2018,Eftpos Purchase               06Apr00:32 Suburban Taxi 13100\   Adelaide  Sa   Au,40.41,,3481.08,
07/04/2018,Visa Purchase                 05Apr Adelaide Metro       Adelaide,15.00,,3466.08,
09/04/2018,Eftpos Purchase               07Apr23:13 Pizza Rev             Adelaide        Au,13.50,,3452.58,
09/04/2018,Eftpos Purchase               08Apr07:24 Coles Express 1924    West Lakes      Au,48.54,,3404.04,
09/04/2018,Black Bull Hotel Black Bull Pay,,343.61,3747.65,
10/04/2018,Eftpos Purchase               01Apr11:00 Pizza Rev             Za R         Nswau,9.50,,3738.15,
12/04/2018,Eftpos Purchase               12Apr20:18 Queens Head Hotel     North Adelaidsa Au,16.00,,3722.15,
13/04/2018,Eftpos Purchase               13Apr15:51 Just Guys Sa P/L      Exeter       Sa Au,28.00,,3694.15,
16/04/2018,Eftpos Purchase               15Apr05:37 Independent 132211 \   Adelaide  Sa   Au,12.77,,3681.38,
16/04/2018,Black Bull Hotel Black Bull Pay,,383.35,4064.73,
17/04/2018,Eftpos Purchase               17Apr11:58 Boost Juice Pty Ltd   Tullamarine  Vicau,8.30,,4056.43,
17/04/2018,Eftpos Purchase               17Apr20:18 Subway Adelaide Airp  Adelaide Air    Au,13.10,,4043.33,
17/04/2018,Visa Purchase                 15Apr Woolworths      5311 Glenelg,23.38,,4019.95,
18/04/2018,Eftpos Purchase               18Apr14:08 Whetlam Pty Ltd       Adelaide Uni    Au,3.00,,4016.95,
18/04/2018,Internet Withdrawal           18Apr20:51 Picket Fence,100.00,,3916.95,
19/04/2018,Eftpos Purchase               19Apr10:48 Whetlam Pty Ltd       Adelaide Uni    Au,3.50,,3913.45,
19/04/2018,Visa Purchase                 17Apr Adelaide Metro       Adelaide,15.00,,3898.45,
19/04/2018,Visa Purchase                 17Apr Emirates Leisure Ret Canberra,24.00,,3874.45,
20/04/2018,Eftpos Purchase               20Apr16:14 Coles 0435            Adelaide        Au,4.00,,3870.45,
20/04/2018,Visa Purchase                 19Apr The General          Adelaide,2.02,,3868.43,
20/04/2018,Visa Purchase                 19Apr The General          Adelaide,3.04,,3865.39,
21/04/2018,Eftpos Purchase               21Apr09:49 Woolworths      5623  West Lakes   Sa Au,19.98,,3845.41,
21/04/2018,Eftpos Purchase               21Apr09:53 Lorna Jane         \West Lakes        Au,40.00,,3805.41,
21/04/2018,Eftpos Purchase               21Apr10:05 Yd Pty Ltd 304        West Lakes   Sa Au,89.99,,3715.42,
21/04/2018,Eftpos Purchase               21Apr17:53 Adelaide University   North Adelai    Au,4.50,,3710.92,
21/04/2018,Eftpos Purchase               21Apr18:05 Adelaide University   North Adelai    Au,5.00,,3705.92,
23/04/2018,Internet Withdrawal           23Apr00:14 Savings,3000.00,,705.92,
24/04/2018,Visa Purchase                 21Apr Chemist King Glenelg Glenelg,1.99,,703.93,
24/04/2018,Visa Purchase                 21Apr Mint On Moseley Squa Glenelg,4.00,,699.93,
24/04/2018,Visa Purchase                 23Apr Taste Baguette       Adelaide,4.00,,695.93,
24/04/2018,Visa Purchase                 23Apr The General          Adelaide,8.10,,687.83,
24/04/2018,Visa Purchase                 21Apr Mint On Moseley Squa Glenelg,11.00,,676.83,
24/04/2018,Visa Purchase                 21Apr Mint On Moseley Squa Glenelg,11.00,,665.83,
24/04/2018,Visa Purchase                 21Apr Paypal *Adobesystem  402935773,14.29,,651.54,
27/04/2018,Visa Purchase                 25Apr Paypal *Optus Prepa  402935773,30.00,,621.54,
28/04/2018,Eftpos Purchase               28Apr16:21 Sports And Arthriti\Mile End          Au,122.40,,499.14,
28/04/2018,Eftpos Purchase               28Apr17:52 Almasri Brothers Pty  Adelaide        Au,8.40,,490.74,
28/04/2018,Visa Purchase                 26Apr Whetlam Pty Ltd      Adelaide,3.00,,487.74,
30/04/2018,Eftpos Purchase               30Apr14:04 Woolworths      5317  Rundle Mall  Sa Au,5.00,,482.74,
30/04/2018,Black Bull Hotel Black Bull Pay,,343.61,826.35,
30/04/2018,Visa Purchase                 27Apr Whetlam Pty Ltd      Adelaide,3.00,,823.35,
30/04/2018,Visa Purchase                 27Apr Adelaide Metro       Adelaide,15.00,,808.35,
01/05/2018,Visa Purchase                 28Apr Henley Beach Footbal Henley Be,4.50,,803.85,
02/05/2018,Visa Purchase                 30Apr Taste Baguette       Adelaide,8.50,,795.35,
03/05/2018,Visa Purchase                 01May Whetlam Pty Ltd      Adelaide,3.00,,792.35,
03/05/2018,Visa Purchase                 02May Whetlam Pty Ltd      Adelaide,3.50,,788.85,
04/05/2018,Eftpos Purchase               04May10:09 Sports And Arthriti\Mile End          Au,51.00,,737.85,
04/05/2018,Eftpos Purchase               04May17:31 Taste Baguette        Adelaide Uni Sa Au,6.60,,731.25,
05/05/2018,Eftpos Purchase               05May10:10 Coles 0455            West Lakes      Au,8.80,,722.45,
05/05/2018,Visa Purchase                 04May Sq *St. Raphael's Co Adelaide,3.00,,719.45,
05/05/2018,Visa Purchase                 03May Whetlam Pty Ltd      Adelaide,3.00,,716.45,
05/05/2018,Visa Purchase                 04May City Of Adelaide     Adelaide,13.00,,703.45,
05/05/2018,Visa Purchase                 03May Adelaide Metro       Adelaide,15.00,,688.45,
07/05/2018,Black Bull Hotel Black Bull Pay,,90.96,779.41,
08/05/2018,Visa Purchase                 07May Whetlam Pty Ltd      Adelaide,3.50,,775.91,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,5.00,,770.91,
08/05/2018,Visa Purchase                 05May Independant 132211   Mile End,9.07,,761.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,10.00,,751.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,10.00,,741.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,10.00,,731.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,10.00,,721.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,10.00,,711.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,15.00,,696.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,20.00,,676.84,
08/05/2018,Visa Purchase                 05May Adelaide University  North Ade,40.00,,636.84,
08/05/2018,Visa Purchase                 06May Www.Ingogo           Sydney,44.42,,592.42,
08/05/2018,Visa Purchase                 07May Trybooking Aufc      Online Pu,100.30,,492.12,
09/05/2018,Visa Purchase                 07May Taste Baguette       Adelaide,8.50,,483.62,
10/05/2018,Visa Purchase                 08May The Sports Hub       Adelaide,2.50,,481.12,
10/05/2018,Visa Purchase                 09May Whetlam Pty Ltd      Adelaide,3.50,,477.62,
11/05/2018,Visa Purchase                 10May Whetlam Pty Ltd      Adelaide,3.50,,474.12,
12/05/2018,Visa Purchase                 11May Sq *St. Raphael's Co Adelaide,3.00,,471.12,
12/05/2018,Visa Purchase                 10May Adelaide Metro       Adelaide,15.00,,456.12,
14/05/2018,Black Bull Hotel Black Bull Pay,,325.92,782.04,
15/05/2018,Visa Purchase                 14May Whetlam Pty Ltd      Adelaide,3.00,,779.04,
